word,x,y
meeting,5.40489340726,-39.3362305779
expected,9.15106506194,-7.86973390378
late,-19.381501212,13.942363411
washington,-44.5771309949,-10.933373385
games,-42.1221455627,7.27033419706
european,39.3694498466,2.74909925168
league,-45.5196110426,4.58226718162
reported,6.69856919835,-29.970075683
final,-34.7744319331,13.6422090153
added,11.2242129969,-7.30316502589
without,2.68956721601,-6.7471973417
british,-24.982394863,-3.23157183753
white,-21.259496231,0.227902477901
history,-23.7479681578,-14.1080149234
man,-22.1485962533,-32.2509787444
men,-13.7237780387,-32.8692823349
became,-21.0066053465,-4.28721912528
want,2.46730658688,-19.1474223463
march,-32.7063501971,39.3379083133
case,26.1811289173,-33.060124572
few,0.722028321151,1.34418913615
run,-10.8927349948,18.2691544341
money,32.578127211,20.8476304092
began,-16.4423607048,13.515264713
open,-24.8708650059,12.0062461706
name,-20.1503411851,-10.1358419652
trade,35.3665980573,11.8154908248
center,-26.218317634,4.37335920773
3,-25.6719279429,38.4396699703
israel,50.7648018673,-10.8639301822
oil,14.6224469577,20.4668915421
too,-4.14235699073,-9.65167633397
al,47.0011787882,-10.0748245023
film,-33.9053229891,-6.65554374187
win,-38.7292590105,15.7859867555
led,-3.92785156617,14.7201008508
east,0.166391502788,33.1832729269
central,2.08416948013,35.4770006873
20,-22.7653589791,42.1742004478
air,5.86913394442,42.8303130982
come,4.29940094726,-15.8176079283
chinese,49.5107286958,13.199028006
town,-2.01928226001,29.2556835177
leader,20.9185532153,-36.9231301364
army,40.8083530754,-18.6820153714
line,-6.73955136446,18.0290673424
never,-0.809709667091,-13.4644543619
little,-8.28111142287,-13.8046774306
played,-41.4947348771,3.38997886034
prime,6.86583344109,-43.5208607575
death,-23.4211471307,-24.6037186233
companies,24.4176762944,17.3604864429
least,-16.7011673588,37.1649402609
put,4.16904449378,-9.45420088029
forces,41.309159229,-18.223254135
past,-10.6925665139,7.03066039701
de,-38.2921511065,-14.3507838373
half,-22.3152823443,13.1623311021
june,-33.2472441109,39.5997772875
saying,8.05570106814,-27.2194408925
know,-0.977494882248,-18.9490637575
federal,14.9687886665,-36.2925319675
french,48.8784243796,-0.68633842951
peace,37.7408752492,-5.78907701863
earlier,-19.7793883945,18.4491074032
capital,1.82644200141,36.0838356463
force,40.0589539242,-18.3189121216
great,-12.6255829682,-14.013949367
union,17.4023536246,-34.6824423305
near,-3.56921504476,29.8219230912
released,-39.3134066486,26.9402436724
small,5.41448913652,16.0864394661
department,10.8609351609,-34.0131498438
every,-3.56596762108,7.00563781914
health,28.1682907958,1.87888511214
japan,45.9265224187,12.574928894
head,-17.372475602,-0.427833048224
ago,-18.825552573,19.7080746822
night,-24.8618486541,20.0112348878
big,-7.85770845226,-9.76434904163
cup,-41.6819178097,10.9140998747
election,22.6467457929,-42.4346077388
region,3.02506469677,34.3383572025
director,-5.68947702985,-43.3219652313
talks,35.7990929572,-4.47892733872
program,28.7010869415,5.43790548909
far,-5.45133212699,-2.04990243702
today,-6.35227951536,-6.68506085363
statement,11.4472470924,-27.6957509549
july,-33.6653614657,40.3851683749
although,-1.86540774792,-3.064013133
district,-50.2830368287,-10.7355309945
again,-14.6306957975,9.68255937912
born,-27.1785183236,-31.0305281277
development,24.3843304354,6.20320625706
leaders,8.42457882243,-39.7910762794
council,13.0573622722,-38.9939674751
close,-9.45535162643,10.266393793
record,-32.0317599725,11.4631957033
along,-3.32278478285,25.0083377351
county,-49.8817149036,-11.3557462191
france,41.6269424077,4.12593057197
went,-17.5954009331,9.21082224531
point,-4.92220821642,8.35199747751
must,8.66200104736,-12.5746951254
spokesman,0.190170463153,-35.9768972855
your,-7.84336369128,-25.9981518327
member,10.5702748485,-41.4697793191
plan,30.0401134929,-6.22801939357
financial,34.518821048,22.5098868683
april,-33.2749938578,40.0882853426
recent,2.74650310142,16.7972559816
campaign,17.8408525467,-14.7717200601
become,-3.77360861635,1.13673523243
troops,42.0866276023,-17.2173591
whether,9.18012718155,-18.6057286137
lost,-34.5252075766,10.1502407485
music,-33.1515636348,-8.52981400748
15,-24.1005441505,41.7338042921
got,-10.3621972351,-18.1390849111
israeli,52.5190075467,-11.3952645469
30,-22.5090035085,41.3298606436
need,7.54023082322,-11.3412760463
4,-26.2659317803,38.6913985354
lead,-31.0653035119,16.7976568202
already,-6.36565864054,-1.89884649184
russia,43.736158991,1.49965737397
though,-1.88546285729,-4.22861860301
might,5.12560313609,-14.4978224336
free,4.51219666804,-6.73913406901
hit,-21.457298111,8.30195828246
rights,30.0022372393,-18.3250872471
11,-27.5115838797,44.211675087
information,17.2379503978,9.87859383109
away,-12.5690138785,8.47932075809
12,-24.8967619091,41.4519386004
5,-25.29507944,39.2094793159
others,1.12757018478,-0.801258887674
control,19.9865034355,8.69815481544
within,1.55445210496,11.8011201371
large,5.47561942963,16.2116031116
economy,33.2417181465,14.2260496536
press,1.67723114354,-31.6869278065
agency,8.81399668221,-32.5791364635
water,-2.20498884508,20.5667071035
died,-24.3153808648,-24.6285279226
career,-38.470528284,3.48015544144
making,-1.76569000629,5.09972100477
...,-2.60912276868,-16.9660882506
deal,33.9427943545,-5.6382685625
attack,40.7189020684,-29.126308371
side,-8.79733240994,7.12929338612
seven,-18.0678222309,29.9941577575
better,-9.19578466724,-15.2131482022
less,-3.46549671255,-1.42466044631
september,-34.7303647163,39.3650737529
once,-13.4279256069,4.28067601045
clinton,15.9549224342,-47.5919646444
main,-0.790498253294,13.8313526917
due,16.9022312596,0.085706973625
committee,13.3533125286,-37.6027856385
building,7.13048386469,22.9470616217
conference,4.92619047084,-40.1570198776
club,-44.8930467667,3.59544925201
january,-34.3134034467,38.7308656544
decision,19.8104257919,-27.8929696792
stock,32.7384018212,30.2446060542
america,9.78443509277,13.6752667755
given,2.6225346548,-4.59381635866
give,5.90553590715,-12.0587345268
often,4.73749967476,0.148539467399
announced,-21.133619837,25.5731946909
television,-39.2877191236,-5.31070166876
industry,22.8583376608,18.1166569723
order,11.1570126839,-10.6122597815
young,-18.7842452686,-32.5143350872
've,-5.75893145072,-20.7297761963
palestinian,52.3125377512,-12.2185669476
age,-16.2718084386,-29.9232607399
start,-14.0981277671,14.9284345939
administration,26.1644501356,-11.4378040193
russian,47.5599772113,-2.16767432377
