word,x,y
so,-1.48841570481,-9.7839085635
them,2.14620565982,-11.0831409916
what,-1.71060418031,-13.3206843726
him,7.25815702165,0.823097797949
united,-14.1712874701,10.1505281935
during,4.08580798951,10.6147831489
before,2.84817636251,7.82935977789
may,-2.33032692429,-5.42894245954
since,5.26503408831,14.0047326926
many,6.26779144757,-8.10244643782
while,4.53806786858,2.19393520734
where,7.8036221176,2.90712140794
states,-14.1688405371,10.1324026408
because,-0.434381377801,-7.70088090309
now,1.72529963488,-7.93576594813
city,15.5580761025,3.19884714475
made,4.1566956277,-1.96228313846
like,-2.00545322688,-11.4014995589
between,5.5929587576,1.33780993839
did,0.701826227541,-13.0163472203
just,-6.40464044321,-14.1642948102
national,-19.3586225797,0.444007750096
day,7.55805802908,11.483207897
country,-11.4306336336,9.43224955579
under,3.8959796632,0.450064814441
such,6.80098392261,-7.13624274158
second,-0.993860278477,13.222784914
then,2.58149255606,6.24848639895
company,-10.3833786796,2.15831470256
group,-18.3293936284,-2.37433620745
any,-2.0008439478,-6.8237280118
through,1.93019029502,3.08262653835
china,-19.614412619,13.0547942284
four,21.0127484753,15.9428288509
being,6.91819208505,-2.16549575509
down,-0.0233297378188,4.95568063277
war,-12.9536154306,-17.8260856039
back,0.986944186817,4.56027112324
off,0.749638621031,5.27427562376
south,18.1629952512,7.32056929855
american,11.4938616231,-15.7348817518
minister,-5.08640664261,-25.7924217885
police,-21.8369417984,-16.3680772345
well,4.68000671285,-3.98170062246
including,9.02451760065,-7.2934952215
team,-5.46665137083,21.7163396989
international,-17.3097589309,-0.0703577479895
week,6.79074867264,11.3272918703
officials,-21.6489727422,-14.8453320925
still,1.54581381335,-7.96164846568
both,4.99897568434,-3.66769934402
even,1.08245854839,-6.67996180757
high,14.1492607738,9.58556162401
part,3.67812511423,-1.01328553939
told,2.48941940427,-21.0693210685
those,6.12326764204,-9.31202351157
end,0.891136746792,8.27981609485
former,-18.6174675582,6.27703422063
these,6.86408404119,-8.71295610418
make,-6.06232298102,-7.84890213049
billion,15.8138860385,18.4075132096
work,10.0934075405,-12.6076059675
our,-7.12849519155,-20.0272506043
home,2.72173920761,3.96663516538
school,16.718738008,-19.0312432942
party,-23.1958634178,-4.49081020403
house,-20.1316002307,-6.51761668115
old,14.185153149,-7.35067354232
later,4.85490131326,7.68265967751
get,-5.24824325058,-14.2123118219
another,1.13661147267,-0.816296091854
tuesday,11.0231579265,10.9779753164
news,5.41081183667,-22.4647075401
long,-1.10140265982,-0.506854805733
five,20.9347583988,16.1767209931
called,8.49081880574,-3.43899015986
1,13.3089752049,26.6159687759
wednesday,11.0442254444,11.6240257048
military,-13.7931442411,-19.9881893508
way,-2.22121226592,-9.94105793776
used,4.67163006637,-11.6728635692
much,0.476070717087,-9.41505661084
next,-0.311645358247,9.49577869662
monday,10.2840335259,11.0093704717
thursday,10.4506985603,12.0205792502
friday,9.98307429457,11.5565782236
game,-4.85054701042,19.2710075193
here,2.28491127262,-13.5491822697
